0,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10
0,1013.25,1007.38,1001.52,995.65,989.79,983.93,978,972.2,966.34,960.47,954.61,943.44,932.27,921.1,909.93,898.76,888.126,877.492,866.858,856.224,845.59,835.474,825.358,815.242,805.126,795.01,770.96,746.91,724.06,701.21,679.505,657.8,637.2,616.6,597.06,577.52,559,540.48,522.935,505.39,488.78,472.17,456.46,440.75,425.9,411.05,397.02,382.99,369.75,356.51,344.025,331.54,319.77,308,296.92,285.84,275.415,264.99
0.08333333,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.014,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.014,0.004,0.014,0.059,0.069,0.069,0.117,0.325,0.743,0.857,1.36,1.751,1.876,2.249,3.619,1.693,2.801,2.467,2.751,0.307,0.373,0.212,0.117,0.004,0.004,0.024,0.024,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
0.1666667,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.015,0.016,0.063,0.182,0.356,0.484,0.662,0.799,0.891,1.107,1.698,0.889,1.285,1.236,1.206,0.154,0.26,0.149,0.093,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.25,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.025,0.111,0.202,0.295,0.364,0.433,0.505,0.634,0.934,0.528,0.743,0.73,0.674,0.098,0.172,0.103,0.065,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
0.3333333,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.106,0.176,0.286,0.282,0.346,0.43,0.499,0.741,0.49,0.707,0.704,0.61,0.099,0.164,0.109,0.066,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.4166667,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.076,0.122,0.204,0.2,0.241,0.301,0.36,0.514,0.342,0.483,0.482,0.411,0.073,0.127,0.084,0.052,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
0.5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.095,0.158,0.257,0.273,0.321,0.4,0.514,0.716,0.449,0.618,0.618,0.535,0.097,0.178,0.114,0.072,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.5833333,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.014,0.09,0.158,0.246,0.28,0.334,0.398,0.501,0.731,0.431,0.61,0.601,0.545,0.088,0.156,0.095,0.061,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
0.6666667,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.023,0.055,0.165,0.337,0.452,0.636,0.78,0.864,1.061,1.713,0.894,1.344,1.272,1.296,0.147,0.235,0.132,0.08,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
